OID,OBJECTID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POP2000,POP00_SQMI,HSE_UNITS_,VACANT_00,OWNER_OCC_,RENTER_OCC,POP_2010,POP10_SQMI,POP_CHANGE,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_89,AGE_90_UP,AGE_UNDER1,AGE_18_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC,HSE_UNITS,VACANT,OCCUPIED,OWNER_OCC,RENTER_O_1,Shape_Leng,Shape_Area,HSE_UNITS1,VACANT_CHA,OWN_OCC_CH,RENT_OCC_C
40,41,Ohio,39,East North Central,OH,11353140,261.1,4783051,337278,3072522,1373251,11536504,266.8999939,183364,2,3,39,01085497,39,OH,Ohio,00,G4000,A,1.05829E+11,10269012119,+40.4149297,-082.7119975,5632156,5904348,720856,747889,774699,823682,763116,718630,691329,718462,761369,855134,887057,786857,665409,478864,371370,297519,243833,153874,76555,2730751,7183738,1622015,38.8,37.4,40,9539437,1407681,25292,192233,4066,130030,354674,5127508,524073,4603435,3111054,1492381,19.81211684,11.31825698,344457,186795,38532,119130
41,42,Utah,49,Mountain,UT,2233169,26.3,768594,67313,501547,199734,2763885,33.5,530716,4,8,49,01455989,49,UT,Utah,00,G4000,A,2.12818E+11,7063566754,+39.3349735,-111.6563633,1388317,1375568,263924,249572,227951,221090,226519,229554,216133,178401,154074,154831,152133,133122,107119,79480,58744,45835,34412,20891,10100,871027,1643396,249462,29.2,28.7,29.7,2379560,29287,32927,55285,24554,166754,358340,979709,102017,877692,618137,259555,20.00310065,22.9748972,211115,34704,116590,59821
42,43,Missouri,29,West North Central,MO,5595211,80.3,2442017,247423,1542149,652445,5988927,86.09999847,393716,2,4,29,01779791,29,MO,Missouri,00,G4000,A,1.7804E+11,2500563712,+38.3507500,-092.4567826,2933477,3055450,390237,390463,396925,423786,413289,403239,372228,368070,380546,444766,443806,389985,333293,257053,193437,155271,118754,74862,38917,1425436,3725197,838294,37.9,36.5,39.2,4958770,693391,27376,98083,6261,80457,212470,2712729,337118,2375611,1633610,742001,24.9395157,18.61390059,270712,89695,91461,89556
43,44,Minnesota,27,West North Central,MN,4919479,56.7,2065946,170819,1412865,482262,5303925,61.40000153,384446,2,4,27,00662849,27,MN,Minnesota,00,G4000,A,2.06232E+11,18930454637,+46.3161343,-094.1994801,2632132,2671793,355504,355536,352342,367829,355651,372686,342900,328190,352904,406203,401695,349589,279775,202570,151857,122114,99916,67056,39608,1284063,3336741,683121,37.4,36.3,38.4,4524062,274412,60916,214234,2156,103000,250258,2347201,259974,2087227,1523859,563368,36.66055568,25.53489067,281255,89155,110994,81106
44,45,Michigan,26,East North Central,MI,9938444,150,4234279,448618,2793124,992537,9883640,152.5,-54804,2,3,26,01779789,26,MI,Michigan,00,G4000,A,1.46435E+11,1.04052E+11,+44.8410835,-085.6593197,4848114,5035526,596286,637784,675216,739599,669072,589583,574566,612493,665481,744581,765452,683186,568811,418625,306084,244085,200855,126935,64946,2344068,6178042,1361530,38.9,37.6,40,7803120,1400362,62007,238199,2604,147029,436358,4532233,659725,3872508,2793342,1079166,75.55495658,16.99852069,297954,211107,218,86629
45,46,Kansas,20,West North Central,KS,2688418,32.7,1131200,93309,718703,319188,2853118,34.5,164700,2,4,20,00481813,20,KS,Kansas,00,G4000,A,2.11754E+11,1345868930,+38.4985464,-098.3834298,1415408,1437710,205492,202447,198884,203821,204454,197783,179937,172388,174285,201830,204434,182512,148735,107755,82634,69466,56943,37949,21369,726939,1750063,376116,36,34.7,37.4,2391044,167864,28150,67762,2238,110127,300042,1233215,121119,1112096,753532,358564,21.41400364,22.00463762,102015,27810,34829,39376
46,47,Montana,30,Mountain,MT,902195,6.1,412633,53966,247723,110944,989415,6.699999809,87220,4,8,30,00767982,30,MT,Montana,00,G4000,A,3.76962E+11,3869200368,+47.0511771,-109.6348174,496667,492748,62423,60765,61124,66724,67138,64123,58741,55575,57370,71021,78811,75915,62943,46556,34186,25637,20342,12806,7215,223563,619110,146742,39.8,38.8,41,884961,4027,62555,6253,668,5975,28565,482825,73218,409607,278418,131189,36.644854,45.07877719,70192,19252,30695,20245
47,48,Mississippi,28,East South Central,MS,2844658,58.7,1161953,115519,756967,289467,2967297,61.90000153,122639,3,6,28,01779790,28,MS,Mississippi,00,G4000,A,1.21531E+11,3907007795,+32.6864655,-089.6561493,1441240,1526057,210956,205672,208248,224619,210894,199082,188171,187368,187579,208369,208607,186569,160756,120523,93946,69876,51703,29146,15213,755555,1831335,380407,36,34.5,37.5,1754684,1098385,15030,25742,1187,38162,81481,1274719,158951,1115768,777073,338695,27.04624431,11.88400107,112766,43432,20106,49228
48,49,South Carolina,45,South Atlantic,SC,4012012,125.3,1753670,219816,1107617,426237,4625364,145.3000031,613352,3,5,45,01779799,45,SC,South Carolina,00,G4000,A,77856841944,5075831885,+33.8741769,-080.8542699,2250101,2375263,302297,295853,297286,328989,332494,304378,287678,296682,304610,332766,326662,303240,280555,215561,153482,113248,78866,47912,22805,1080474,2913016,631874,37.9,36.4,39.2,3060000,1290684,19524,59051,2706,113464,235682,2137683,336502,1801181,1248805,552376,37.72371114,7.813598845,384013,116686,141188,126139
49,50,Kentucky,21,East South Central,KY,4041769,100,1750927,160280,1125397,465250,4339367,107.4000015,297598,3,6,21,01779786,21,KY,Kentucky,00,G4000,A,1.02269E+11,2386569692,+37.5336807,-085.2929841,2134952,2204415,282367,282888,284154,296795,289968,285296,280920,285411,291251,323642,319455,288027,250966,185664,139650,105392,78313,46787,22421,1023371,2737769,578227,38.1,36.7,39.3,3809537,337520,10120,48930,2501,55551,132836,1927164,207199,1719965,1181271,538694,22.62692807,10.66865981,176237,46919,55874,73444
50,51,Oregon,41,Pacific,OR,3421399,34.8,1452709,118986,856951,476772,3831074,39.29999924,409675,4,9,41,01155107,41,OR,Oregon,00,G4000,A,2.48608E+11,6191433228,+43.9715225,-120.6226269,1896002,1935072,237556,237214,242553,254860,253048,265033,259111,251163,248362,262879,276196,273423,236143,169847,120194,91601,74019,50346,27526,866453,2431088,533533,38.4,37.3,39.5,3204614,69206,53203,141263,13404,204625,450062,1675562,156624,1518938,944485,574453,30.31851793,28.1890585,222853,37638,87534,97681
51,52,South Dakota,46,West North Central,SD,754844,9.8,323208,32963,197940,92305,814180,10.69999981,59336,2,4,46,01785534,46,SD,South Dakota,00,G4000,A,1.9635E+11,3379099963,+44.4467957,-100.2381762,407381,406799,59621,55531,53960,57628,57596,55570,49859,45766,47346,57519,59399,54231,43573,31944,25683,21724,18004,11981,7245,202797,494802,116581,36.9,35.6,38.2,699392,10207,71817,7610,394,7477,22119,363438,41156,322282,219558,102724,23.82256054,22.57823405,40230,8193,21618,10419
