OID,OBJECTID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POP2000,POP00_SQMI,HSE_UNITS_,VACANT_00,OWNER_OCC_,RENTER_OCC,POP_2010,POP10_SQMI,POP_CHANGE,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_89,AGE_90_UP,AGE_UNDER1,AGE_18_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC,HSE_UNITS,VACANT,OCCUPIED,OWNER_OCC,RENTER_O_1,Shape_Leng,Shape_Area,HSE_UNITS1,VACANT_CHA,OWN_OCC_CH,RENT_OCC_C
10,11,New Jersey,34,Middle Atlantic,NJ,8414350,983,3310275,245630,2011473,1053172,8791894,1030.699951,377544,1,2,34,01779795,34,NJ,New Jersey,00,G4000,A,19047341691,3544030209,+40.1072744,-074.6652012,4279600,4512294,541020,564750,587335,598099,541238,553139,556662,588379,649918,704516,674680,565623,480542,350972,260462,215715,179233,117315,62296,2065214,5540687,1185993,39,37.4,40.3,6029248,1204826,29026,725726,3043,559722,1555144,3553562,339202,3214360,2102465,1111895,31.89031987,2.069228224,243287,93572,90992,58723
11,12,New Mexico,35,Mountain,NM,1819046,15,780579,102608,474445,203526,2059179,17.10000038,240133,4,8,35,00897535,35,NM,New Mexico,00,G4000,A,3.14161E+11,756659673,+34.4391265,-106.1261511,1017421,1041758,144981,143308,141691,149861,142370,139678,127567,123303,125220,144839,147170,136799,120137,87890,65904,50230,36238,21622,10371,518672,1268252,272255,36.7,35.3,38,1407876,42550,193222,28208,1810,308503,953403,901388,109993,791395,542122,249273,23.6735597,30.89269623,120809,7385,67677,45747
12,13,Texas,48,West South Central,TX,20851820,77.6,8157575,764221,4716959,2676395,25145561,94.09999847,4293741,3,7,48,01779801,48,TX,Texas,00,G4000,A,6.76587E+11,19074619314,+31.4347032,-099.2818238,12472280,12673281,1928473,1928234,1881883,1883124,1817079,1853039,1760434,1763587,1694795,1760467,1674869,1422924,1174767,853100,619156,477245,347206,205501,99678,6865824,15677851,2601886,33.6,32.6,34.6,17701552,2979598,170972,964596,21656,2628186,9460921,9977436,1054503,8922933,5685353,3237580,121.0655653,65.14747183,1819861,290282,968394,561185
13,14,Louisiana,22,West South Central,LA,4468976,86.2,1847181,191128,1125135,530918,4533372,86.90000153,64396,3,7,22,01629543,22,LA,Louisiana,00,G4000,A,1.11898E+11,23761143266,+30.8577705,-091.8032730,2219292,2314080,314260,306362,306836,326779,338309,332925,295508,276479,288120,325046,329329,292567,242995,178365,133629,102876,77301,44361,21325,1118015,2857500,557857,35.8,34.5,37.2,2836192,1452396,30579,70132,1963,69227,192560,1964981,236621,1728360,1162299,566061,139.7991533,11.45232978,117800,45493,37164,35143
14,15,North Carolina,37,South Atlantic,NC,8049313,151.9,3523944,391931,2172355,959658,9535483,180.3000031,1486170,3,5,37,01027616,37,NC,North Carolina,00,G4000,A,1.2592E+11,13471186331,+35.5397100,-079.1308636,4645492,4889991,632040,635945,631104,659591,661573,627036,619557,659843,667308,698753,669893,600722,538039,403024,294543,223655,165396,98865,48596,2281635,6019769,1234079,37.4,36,38.7,6528950,2048628,122110,208962,6604,414030,800120,4327528,582373,3745155,2497900,1247255,95.44924228,12.7022773,803584,190442,325545,287597
15,16,North Dakota,38,West North Central,ND,642200,9.1,289677,32525,171299,85853,672591,9.399999619,30391,2,4,38,01779797,38,ND,North Dakota,00,G4000,A,1.78711E+11,4396568298,+47.4569538,-100.4619304,339864,332727,44595,40076,39790,47474,58956,49596,40889,37065,38197,46380,50277,45946,35873,26028,20845,18368,15548,10183,6505,149871,425243,97477,37,35.5,38.7,605449,7960,36591,6909,320,3509,13467,317498,36306,281192,183943,97249,25.16541311,21.8397051,27821,3781,12644,11396
16,17,Nebraska,31,West North Central,NE,1711263,22.1,722668,56484,449317,216867,1826341,23.60000038,115078,2,4,31,01779792,31,NE,Nebraska,00,G4000,A,1.98974E+11,1356219849,+41.5438105,-099.8123253,906296,920045,131908,128928,122706,128930,129276,129076,116100,110361,110477,128491,130235,117686,95490,68834,54292,46435,37808,24906,14402,459221,1120443,246677,36.2,35,37.5,1572838,82885,18427,32293,1279,79109,167405,796793,75663,721130,484730,236400,24.27744779,21.61519572,74125,19179,35413,19533
17,18,Tennessee,47,East South Central,TN,5689283,135,2439443,206538,1561363,671542,6346105,151.1000061,656822,3,6,47,01325873,47,TN,Tennessee,00,G4000,A,1.06798E+11,2355218865,+35.8585639,-086.3493573,3093504,3252601,407813,412181,418941,437186,426244,417683,406314,423622,430508,467087,459349,414991,370724,280538,206536,154517,111954,66977,32940,1496001,3996642,853462,38,36.7,39.2,4921948,1057315,19994,91242,3642,141955,290059,2812133,318581,2493552,1700592,792960,22.58113216,10.88911924,372690,112043,139229,121418
18,19,New York,36,Middle Atlantic,NY,18976457,366.7,7679307,622447,3739166,3317694,19378102,377.6000061,401645,1,2,36,01779796,36,NY,New York,00,G4000,A,1.22057E+11,19239924100,+42.9133974,-075.5962723,9377147,10000955,1155822,1163955,1211456,1366278,1410935,1380177,1279160,1254124,1355893,1458763,1419928,1237408,1066260,773211,587391,474807,391660,252527,138347,4324929,12435230,2617943,38,36.3,39.4,12740974,3073800,106906,1420244,8766,1441563,3416922,8108103,790348,7317755,3897837,3419918,64.21947556,13.88070739,428796,167901,158671,102224
19,20,Pennsylvania,42,Middle Atlantic,PA,12281054,271.1,5249750,472747,3406337,1370666,12702379,277.5,421325,1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,1.15883E+11,3397122731,+40.9042486,-077.8280624,6190363,6512016,729538,753635,791151,905066,874146,781527,729592,764287,851382,955763,984641,879048,743296,553002,426536,362332,311761,202117,103559,2792155,7950917,1959307,40.1,38.7,41.5,10406288,1377689,26843,349088,3653,300983,719660,5567315,548411,5018904,3491722,1527182,18.07331446,12.53217393,317565,75664,85385,156516
